Params	32
Free_params	32
Burnin	50000
Samples	50000
Max loglikelihood	-186330.374306172
AIC	372724.748612345
BIC	372976.520144341
DIC	373065.515026159
 
Name	Type	Lower Bound	Upper Bound	MLE	Posterior mean	Posterior variance	Posterior l95	Posterior l68	Posterior median	Posterior u68	Posterior u95
sigma	log	1E-06	1000000	41.145526485387	41.547661995808	0.0621318148723944	41.0786933179745	41.3013926985395	41.5431541471545	41.7990813101487	42.0398322573764
e76	log	0.0001	1	0.0191710747830116	0.0203965308312283	2.86944222405841E-07	0.0193722048952782	0.019840287529351	0.0203923202103375	0.0209369078488024	0.0215528660079511
e81	log	0.0001	1	0.00604873205358022	0.00611932024058378	7.86424004612743E-08	0.00569231228566039	0.00584984759034565	0.00608071297602897	0.00638313062889514	0.00677570125732709
aYFP	log	1000	10000000	33230.1049950584	33182.8359178623	1154874.28716767	31181.513204934	31759.7793002185	33244.7058527715	34297.1709378703	34961.9373570012
aCFP	log	1000	10000000	24759.9738787137	25061.89983953	49788.8955986299	24645.4861630026	24822.4601130797	25062.0679569808	25292.3053609264	25490.7306207926
KGR_76	log	0.0001	1000	8.83084266152586	8.74464935835812	0.0570028921403146	8.25732246495678	8.48077541499294	8.74868339953638	8.98709483212285	9.19434879273028
KGS_76	log	0.0001	1000	0.000876692158506126	0.00040523437497702	1.28338703789267E-07	0.000105609039588503	0.000135300148076449	0.000264434977008435	0.000696829026469139	0.00139766056796517
KGR_81	log	0.0001	1000	0.0150998361502094	0.0153475500621728	4.82242355451796E-07	0.0143186492413772	0.0146330512375046	0.0152428342522908	0.0161443549533304	0.016855873928628
KGS_81	log	0.0001	1000	11.0272158810996	10.9817728137119	0.14861922982	10.4204356239162	10.5751301230034	10.9342714372068	11.295080613468	11.8375923383949
KR6	log	1E-08	1	0.000150857877984288	0.00014985256979569	2.7305314334162E-11	0.000137450424549807	0.000144866872749847	0.000150578675773465	0.000154690889847086	0.000158861313903394
KS6	log	1E-08	1	3.65857269866302E-06	4.22023069018813E-06	1.63108120565076E-13	3.40150069911232E-06	3.83462149213185E-06	4.22916717490852E-06	4.62783342011969E-06	4.98873560730327E-06
KR12	log	1E-08	1	1.00453957322699E-08	1.02380021889859E-08	4.63313511332957E-20	1.00038145106787E-08	1.00398690513102E-08	1.01699721061899E-08	1.04634988198917E-08	1.07722302523691E-08
KS12	log	1E-08	1	0.0231449250979955	0.0246441407606443	1.39441707042732E-06	0.0225429630993786	0.0233152080815581	0.0246197647263696	0.0257369370848759	0.0273904721439337
nR	real	0.5	2	0.784154115244916	0.78145979866281	2.01004611340343E-05	0.7722941363481	0.77640187528843	0.781975981485432	0.785766178853055	0.789425190880429
nS	real	0.5	2	0.953454330251457	0.984847709819578	0.000729861551940136	0.943747218211249	0.961364213530346	0.981084564730828	1.00287366485494	1.05596061865546
aR33	log	1	100	9.66219496444969	9.61357377397729	0.0416449379381064	9.32125423225734	9.40171823034341	9.58969647503919	9.77334195161708	10.0798973699191
aS175	log	1	100	2.94424714015534	2.92159578355242	0.000999151139835395	2.86576185863694	2.88216678530705	2.92361510495329	2.95775650673437	2.96498780149583
dR	log	0.01	10	9.98318713482142	9.98791524173604	4.3841779263463E-05	9.97357466405544	9.98116664813628	9.98840693928848	9.99571379237441	9.99816512368437
dYFP	log	0.001	1	0.148123304069472	0.146735252880641	9.03548092606576E-07	0.144967748244485	0.145705069091591	0.146865810714556	0.147676897663832	0.148247424301509
dCFP	log	0.001	1	0.458277610171844	0.462404866514183	1.185863250775E-05	0.45518050423533	0.459264083208779	0.462734441173386	0.46591608925987	0.468232425148853
autoCFP	log	0.001	1000	267.182061687734	268.215890323336	0.50972116604738	266.756800914716	267.513573339669	268.208713798357	268.927736865061	269.678408594174
autoYFP	log	0.001	1000	8.0194659530532	8.08273616544072	0.0534749529730967	7.61847962756031	7.83497359683846	8.10122334569263	8.31494334491707	8.50464605284694
aL	log	0.01	100	70.4916221728179	65.2589987503168	26.4209447644679	55.5062981717399	57.2271692366037	67.6492028690805	70.058344193671	71.3757015629864
aT	log	0.01	100	62.3365421058472	60.6259602781465	76.6686988131197	42.8280775353091	49.4945414095701	62.5176886046117	69.0346639907436	70.311995384572
nL	real	0.5	5	0.628971032975425	0.643742771597065	7.28522067876067E-05	0.627006363736371	0.63473353465851	0.644309084669032	0.652679969235105	0.659300225931075
nT	real	0.5	5	2.1475433855739	2.18076527621396	0.000480771224438707	2.1371845205849	2.16152485975342	2.18056260814841	2.20216503471746	2.22859509651975
dL	log	0.001	10	0.64217552616871	0.647723328994185	0.0050600223298106	0.496823781548833	0.572025331911724	0.653416304079449	0.713525207450496	0.762904635918567
dT	log	0.001	10	2.76526956607495	2.72162807214286	0.107365166896506	2.02769334825302	2.30991332048799	2.79564432830561	3.02233512418961	3.09178212573896
iA	log	0.01	1000	0.14941652614956	0.146707944645707	0.000251536868795494	0.116742699510376	0.127105959208586	0.150378841044349	0.162013021497693	0.16501062377281
iI	log	0.01	1000	134.700877725704	129.229930836576	139.813319489193	106.525601308681	114.635752478595	132.682238895568	141.430325653837	145.484791688919
yb0_exrep	real	0	5000	99.0288444622266	95.110672773266	17.4566750786533	87.1961291092071	91.1473898670576	94.7920318910164	99.302377309406	103.165813540714
cb0_exrep	real	0	10000	2010.05110489103	1971.61713016632	1003.12129184229	1900.55005341993	1942.28560615074	1974.81814530096	1999.35181453506	2037.3299950687